번호,제목,제목url,댓글,글쓴이,글쓴이ip,조회,추천,상세시간,내용,첨부이미지
5494632,프3 그만 욕하라고ㅅㅂ,https://gall.dcinside.com/board/view/?id=frozen&no=5494632&page=1,5,멍붕슨,,44,0,2024.10.20 21:25:42,지옥같던 내 20대를 옆에서 함께 지켜와준 시리즈라고ㅅㅂ,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82f91dd856332e43ac03213d5b2bc8fc75f7e9264a763d9e42be80ec76848b52c78e270551a6f0b73b68b41b16a12ce5cc3be&amp;f_no=owgenji-20241019-100535-000.jpg
5494631,프3은 그냥 페이커같은 존재임,https://gall.dcinside.com/board/view/?id=frozen&no=5494631&page=1,5,쥬디홉스,,38,0,2024.10.20 21:19:33,상징만 살아있을뿐 사실상 다 뒤진폼인데,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9151ac0e62b529822d643843bb35631e1f4d852a2a6501d147d2fbfb56dba8696536bde70b3960d82b5d9833975f970c2a609&amp;f_no=4B326EC1-B40B-4909-905F-BC0610C01719.gif
5494630,솔직히 프3은 억떡 맞죠,https://gall.dcinside.com/board/view/?id=frozen&no=5494630&page=1,6,ㅇㅇ,59.14,47,0,2024.10.20 21:18:09,이젠 프갤에서 겨울왕국 이야기 하는것도 억떡같아서 글도 못쓰겠음,
5494629,사실상 아직까지 프갤붙잡고있는것도 민폐임,https://gall.dcinside.com/board/view/?id=frozen&no=5494629&page=1,11,쥬디홉스,,50,0,2024.10.20 21:17:29,엘갤애들이 여기오고 우리가 타갤로 이주해서 난민처럼 정착해야되는데,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9154e9cb328029971d443f64cb3513f930c1165894dc96ae3b056feffd4076f00c3c4e720c6fd3464161949b98fa8c044fd54&amp;f_no=F5358782-1BDA-45D8-B293-13D87258CA06.gif
5494628,주짓수랑 씨름배워서 뭐함,https://gall.dcinside.com/board/view/?id=frozen&no=5494628&page=1,5,쥬디홉스,,34,0,2024.10.20 21:12:46,쥬디홉스 총검술 극의 1형에 다 도륙내짐,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9151cc2b32a03c82280438641b225469cf5df4ff167eb580139271921f36559a23efd3cde4fa0e51b863628fe473d00cdf109&amp;f_no=682AA8E6-0C0C-48F8-B7CE-A3FBAEA4A554.gif
5494627,이거 안봤으면 걍 이거 보셈,https://gall.dcinside.com/board/view/?id=frozen&no=5494627&page=1,12,치요모모,,52,0,2024.10.20 21:10:23,진짜배기 명작들 쟁여놓은것도 있는데 이건 님들 지금은 이해 못하고 애니력좀 기르면 그때 소개해드림  - dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9ddb846333e63bc1d808cd50183d3d15f77715c0a0b36a729d4156c31c2d09d7e67409fa6a9caa280c3d4bb962dc305d57e8700e508ae1e2a84f441c06dcf721b63a86af797b47fd197de77bfa02654623ba61ae61422caa4ebac3cd092e40da284dc96d696311f4b3a6382a03&amp;f_no=fqkb0kAHyYTMSHBHAybRNBxLKwuStJB1ay7pM4Yb_m-llBPdXG_T7Lsl8sYs5tVFClGybMIa0ZRBO8R993glKw.webp
5494626,프3 좆망할듯 근데,https://gall.dcinside.com/board/view/?id=frozen&no=5494626&page=1,3,쥬디홉스,,28,0,2024.10.20 21:10:14,ㄹㅇ억지떡밥임 이제,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9154993b12a579820d343874fc650459d4d327ed703c664915bba09a6f7eac8a0524681dbeab8ef53056a476fe48091959c70&amp;f_no=76F4B99C-1A74-46CA-8176-C67512101EAA.gif
5494625,근데 진짜 프3개봉해서 프갤활성화되면 우린어떡함?,https://gall.dcinside.com/board/view/?id=frozen&no=5494625&page=1,5,쥬디홉스,,36,0,2024.10.20 21:09:06,생각해보니 저것보다 내인생어떡함??,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9154dc2b22750cc73d543824fb85c41e52c8bfcbb521fc0a32a76589194c6f0789d24c83e969d80d19465437c9e98f1155366&amp;f_no=2688FAF3-00AD-4286-A027-CDD6BAF03709.gif
5494624,소식통에 의하면 그림그리는 돼지새끼가 실물깡패라네요,https://gall.dcinside.com/board/view/?id=frozen&no=5494624&page=1,20,쥬디홉스,,81,0,2024.10.20 21:07:36,진짜 존나크고 존나무섭다던데 심지어 가까이가면 소똥축사냄새난대,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9151cc0b52d55c576d443f63cb25641914fdf41e98a2fd202785854655b3f5a8283b28a02e35b4ef40e088d75d151127740d8&amp;f_no=FE22F521-B72C-464C-B789-2ACA0E12AA13.gif
5494623,안탄절이브대관때왔었음??,https://gall.dcinside.com/board/view/?id=frozen&no=5494623&page=1,6,ㅇㅇ,,39,0,2024.10.20 21:06:55,저그때사진잇는디,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82f91dd846634e439c9f295db2cc472c7f4cd082182a51f2b630a9239e0981c1ffa9f95851fd986797f1c04263f1dcf5025ec&amp;f_no=joosool-20241008-002411-000.jpg
5494622,제가 단톡방은 없어도 소식통은 좀 많은데,https://gall.dcinside.com/board/view/?id=frozen&no=5494622&page=1,3,쥬디홉스,,28,0,2024.10.20 21:03:59,소문에 의하면 프갤여갤러들중에 이쁜사람들은 하나도 없다고 하던데요,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9154b96e32f02c524db43854ac2533e94c3f8fcc4ea23ec9141f6c1bbbe538988b8b98e836b8eaf01586a5fcbed5bd7d8600b&amp;f_no=53B79028-6FA6-404E-BA34-8B8A18F5BC9B.gif
5494621,ㅈㄴ배고프다,https://gall.dcinside.com/board/view/?id=frozen&no=5494621&page=1,5,쥬디홉스,,31,0,2024.10.20 21:02:34,뭐먹지,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9154ec0e27b019a758443f14eb45c3e90f9cff67067b756b639d1f1f7b673c43c15254dfa865a161a27a725e676376b2599bb&amp;f_no=A74894B2-A5DC-4A19-BCAA-12DB7439F50A.png
5494620,엘샤가 좆목도킹할때 받아줄걸ㅅㅂ,https://gall.dcinside.com/board/view/?id=frozen&no=5494620&page=1,4,멍붕슨,,48,0,2024.10.20 20:56:54,그때 하필 안갤러 만나는중이였어가지고 하,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375ab2891db836135e53ec3d31e271a33f388ac7e8af501c95a4275f164347d6500dc38c1138d509138d6077a1224026f11459707&amp;f_no=owgenji-20241019-100535-000.jpg
5494619,59.14 너무띄워주지마라 붕슨아,https://gall.dcinside.com/board/view/?id=frozen&no=5494619&page=1,3,쥬디홉스,,32,0,2024.10.20 20:56:22,재미없어졌잖아 씨발,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9154090b17a05c47886438041b65c43e6888bc00332bbdf9eb2f3ddd86412d2573d6527a9afb5ad1d1b6e4a28daa2e40abdd2&amp;f_no=0868DBBF-634E-430E-B46E-FC48E426DDC1.gif
5494618,저는 94년생을 좋아하지 않아요,https://gall.dcinside.com/board/view/?id=frozen&no=5494618&page=1,11,ㅇㅇ,,43,0,2024.10.20 20:56:20,바람핀 전여친 둘 다 94년생임 씨발,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82f91dd846634e439c9f29fdd299829c7fbcf087ad9f954773a698bc373dcec01e00da9d703917dcadfaa10da983e155f7e&amp;f_no=143836-20241002-132006-000.gif
5494617,안나이드아웃 이제 그만써야지,https://gall.dcinside.com/board/view/?id=frozen&no=5494617&page=1,4,ㅇㅇ,222.107,33,0,2024.10.20 20:56:12,순록나로 분탕,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2f9ad9836730e639c58ffb487e2d74eb0d99f056cb68dbe36c719db76638787a6038d55e90334a8f20b2700b9a86567e274de5c308c50dbfb5ed38&amp;f_no=42FA4229-118B-453D-B763-82DF09C788FD.jpg
5494616,제가 막둥이답게 3행시로 분위기 띄워보죠,https://gall.dcinside.com/board/view/?id=frozen&no=5494616&page=1,4,ㅇㅇ,59.14,28,0,2024.10.20 20:53:35,멍: 멍멍이붕: 붕가붕가슨: 슨다!,
5494615,쟤 94년생도 구라일듯,https://gall.dcinside.com/board/view/?id=frozen&no=5494615&page=1,3,멍붕슨,,29,0,2024.10.20 20:52:34,나한테 대학 거주지 전부 개구라쳤었는데 나이도 당연히 구라일거같음,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375ab2891db836135e53ec3d31b22133ca0ddfe258af501c95a427581978417bfb964700561e761092b45458193bdf2a29f0ebe15&amp;f_no=owgenji-20241019-100535-000.jpg
5494614,니네들은 노인공경도 없냐??,https://gall.dcinside.com/board/view/?id=frozen&no=5494614&page=1,5,쥬디홉스,,32,0,2024.10.20 20:48:26,추장님제외하면 내가 젤 늙은이인데 뭐안주냐??,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9151fc7b47d06cb75d343f33ab15430e666a470a5b6e5792351280e188cb0fe4ba63e09c6da66ecc54aef4474a8d7956c58f8&amp;f_no=CC107B87-C3DF-43F4-93B5-BFFE48275B04.gif
5494613,59.14 사는지역 나이 하는일 하나하나 다 불어라,https://gall.dcinside.com/board/view/?id=frozen&no=5494613&page=1,5,쥬디홉스,,30,0,2024.10.20 20:46:10,여기까지왔는데 신상도안까고 우리랑 놀기냐??,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9154c91e37a549d25db43f33cc2544391abfc7fd6b312fd5eb05f1ffe11b71a2e0d9b14b552187806938e3c5424c927be03bc&amp;f_no=CEB0D5D9-A703-46B6-BCAF-637C3E2EBEAE.gif
5494612,게우야,https://gall.dcinside.com/board/view/?id=frozen&no=5494612&page=1,11,멍붕슨,,52,0,2024.10.20 20:40:44,2월에 서울갈게,
5494611,요새는 볼만한 애니도 별로 없는듯,https://gall.dcinside.com/board/view/?id=frozen&no=5494611&page=1,10,ㅇㅇ,59.14,33,0,2024.10.20 20:39:32,이거 하나 건졌네요,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a02199d0876330e138aee7895fe354b63248c6ee80b2e32f080e970b00c0620b11b7&amp;f_no=P001762619.webp
5494610,나 단풍구경가기로했어,https://gall.dcinside.com/board/view/?id=frozen&no=5494610&page=1,6,쥬디홉스,,40,0,2024.10.20 20:15:12,부럽지??,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9154fc5b82e57cc278143f248b02546e1ecab325cc212fc04f8ca15a4c0b9982db7aed321597fe2b2adb3b98e54988b33244a&amp;f_no=B10AAE24-DD53-4234-920B-F46AEF51851B.gif
5494609,59.14 형님은 그새 또 가버리셨네요,https://gall.dcinside.com/board/view/?id=frozen&no=5494609&page=1,3,멍붕슨,,38,0,2024.10.20 19:54:47,어쩐지 갤이 쳐망해있더라,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375ab2891db836135e53ec3d319711235a68efa238afc45990c1b7aadb2947a613d79d955de65841ce3bce1e8360b4c97026f23868441d4d3da&amp;f_no=f3737e86b31feb6034da425d97d5e29a.png
5494608,붕슨아,https://gall.dcinside.com/board/view/?id=frozen&no=5494608&page=1,4,ㅇㅇ,,44,0,2024.10.20 19:40:08,자짤바꿔 ㅅㅂ,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82f91dd846634e439c9f29c8b7e962f92f29e08229ebe1c693ea470426b316fb668e192ece41cc531f9e9d487c9ba52&amp;f_no=istp-20241015-131837-000.jpg
5494606,겨울왕국은 심층 심리의 표현이다.,https://gall.dcinside.com/board/view/?id=frozen&no=5494606&page=1,,겨갤러,59.17,18,1,2024.10.20 19:11:31,,
5494605,앙시이이이,https://gall.dcinside.com/board/view/?id=frozen&no=5494605&page=1,,아렌델시민A,,17,3,2024.10.20 18:21:16,#NAME?,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a8219bdd8d6236e83fc113251db9747598985ff93e221fe454f4fecb219fe400d9d3b57bbf5501ae6965ad1f68886498&amp;f_no=elsa-20240122-100708-000.jpg
5494604,안-시,https://gall.dcinside.com/board/view/?id=frozen&no=5494604&page=1,,ㅇㅇ,118.235,14,0,2024.10.20 18:21:03,안-시,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82190dd846530e734c4db4ff734b2c1a1e7c7443e91a2655207abc02e6aba8d0d939b6296f88561321076cf17ab02c03b&amp;f_no=elsa-20241005-095425-003.webp
5494602,저메추 안해주면 안나(야마다안나임),https://gall.dcinside.com/board/view/?id=frozen&no=5494602&page=1,2,ㅇㅇ,221.152,36,1,2024.10.20 17:35:12,#NAME?,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2f98df826e30e73ec727c2b2ea8d75bac29e879025dc943c65eb324d20cb3df95da13f3b14417e505f763052f26f74998d76c5b025e8a1f8&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494599,부산 간다,https://gall.dcinside.com/board/view/?id=frozen&no=5494599&page=1,2,ㅇㅇ,118.235,33,0,2024.10.20 14:06:38,다음주 수요일에,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82190dd846530e935c859b02427ce1e2bd68d1aef159d33b9b7b5a72d958a4b2e427dca2d94523c97b6597297a9820f5be56b12c4b1915fee5f7092e023&amp;f_no=RDT_20240802_2153264013853143399970983.png
5494598,비염약을 먹었더니 몽롱하다,https://gall.dcinside.com/board/view/?id=frozen&no=5494598&page=1,,ㅇㅇ,118.235,17,0,2024.10.20 14:02:32,환절기 비염 싫어 약을 안 먹으면 코 막혀 머리 아프고 계속 코 풀어 코 주변 피부 상함,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82190dd846530e935c859e1772a981b2ad6d11adb23a616eee9419a7df9f2937585848efb37f03a0836257761a59cc4be76&amp;f_no=frozen-20241019-081825-021.jpg
5494597,스마일2 재밌다,https://gall.dcinside.com/board/view/?id=frozen&no=5494597&page=1,3,Frozen3,,35,0,2024.10.20 13:43:53,나오미 스캇 예쁨,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375ae2d90da856035e938ae66fe87f2f8437e047ed66ea0e57fbbe3497fa255546cd818af2b404d70369be53bc6a9cb6f7a05ea11e1ef2bf03ae11b2c&amp;f_no=BB415DE6-C717-4297-945A-D5FEF5F40D36.jpg
5494595,저새끼는 이제 근본마저 부정하려하네,https://gall.dcinside.com/board/view/?id=frozen&no=5494595&page=1,2,ㅇㅇ,221.152,50,1,2024.10.20 13:26:15,엘사를 어떻게 짱깨새끼들한테 붙이는지 넌 이제 겨갤 공동의 적으로 간주한다  - dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2f98df826e30e73ec727c7b0e2df2fe2c393879025dc943c65e6865cdb448e03949e15056afb6b1a7cc50d8089d6678405e02048df752318&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494594,지피티 똑똑하네요,https://gall.dcinside.com/board/view/?id=frozen&no=5494594&page=1,12,치요모모,,72,1,2024.10.20 13:17:14,엘사+샤오미로 지은건 아무한테도 얘기 안했는데  - dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9ddb846333e63bc1d809cb041a3b6a14a37720d2b9b43f77e8a848049aef76e349c93436b56fa07283a0f974cfaaacc5d53165bded89384b&amp;f_no=Screenshot_20241020_131635_ChatGPT.jpg
5494593,근데 GPT가 빠르게 인간초월 할 거 같았어,https://gall.dcinside.com/board/view/?id=frozen&no=5494593&page=1,3,ㅇㅇ,222.107,59,0,2024.10.20 12:49:08,"예전에 문헌정리 프로젝트 같은 거 한 적 있었는데


이전같았으면 석사 논문 딸 정도의 노가다인데


전부 전자서적화 정보처리화 되서?


딸깍으로 해결되더라






그리고 노가다 이하의 페이 받음..",https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2f9ad9836730e639c58fff442c2675ec0e9df050cc18ad966c379b5d174c5bf97ca2144c476fa239867926d8ae49b1f1be5541ed97f1cf8791fa1b&amp;f_no=2567A28C-8CA4-4826-8E1A-185F74110C59.jpg
5494592,다들 크리스마스땐 뭐 할 예정이신지,https://gall.dcinside.com/board/view/?id=frozen&no=5494592&page=1,6,쥬디홉스,,47,0,2024.10.20 12:44:05,없으면 저희 모여서 밥이나 한끼하죠,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9151bc1e42d01ce208043833ac52536e09ccafe270d3c431ac8e49c57df677875bdff698b886d533874f4a5219b3039cdf63d&amp;f_no=3CEA1D31-9CA6-42F7-A352-75EB323E3FA4.gif
5494591,겨울왕국은 심리 멘탈 게임이다.,https://gall.dcinside.com/board/view/?id=frozen&no=5494591&page=1,,ㅇㅇ,59.14,21,0,2024.10.20 12:36:14,https://youtu.be/NkAKvS0aWhQ,
5494590,엘-시,https://gall.dcinside.com/board/view/?id=frozen&no=5494590&page=1,,ㅇㅇ,118.235,17,0,2024.10.20 12:22:20,1222? 엘-시,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82190dd846530e935c859e57577c91f28dd841adb23a616eee9b508b2841ce33b1c7b35904cd1fa15e809cd3f1341fcba0e&amp;f_no=frozen-20220821-191916-000.gif
5494588,자기 vs 안자기,https://gall.dcinside.com/board/view/?id=frozen&no=5494588&page=1,7,쥬디홉스,,54,0,2024.10.20 12:14:00,자기이~,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2d9cde816731e93dc9154995b82857c9748343834bb8553e933406cbdad6571de6fe5881b4f8e56efbcd37c9daeeb7fe165b8e6aa454720665a8d7&amp;f_no=3281974E-1F42-42CE-B93A-C502EF19046D.gif
5494587,서울간다,https://gall.dcinside.com/board/view/?id=frozen&no=5494587&page=2,11,ㅇㅇ,221.152,62,0,2024.10.20 12:10:02,물론 수요일쯤  - dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2f98df826e30e73ec72790b3bb8826b2c39f879025dc943c65fccf85b2aa356ef1a0fd786016a313f98f006c29c640421a155c6bc9ad19df&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494586,자기 vs 12시까지 버티고 수면패턴 정상화시키기,https://gall.dcinside.com/board/view/?id=frozen&no=5494586&page=2,5,멍붕슨,,51,0,2024.10.20 11:42:34,지금자면 저녁 8시쯤에 깨겠네요,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375ab2891db836135e53ec3d34e281e31f388ad708afc45990c1b7a36f9760f8dcfd5b1f2de7b393dc7165e6c7910ccc2478a188d7b3f9e5d25&amp;f_no=f3737e86b31feb6034da425d97d5e29a.png
