번호,제목,제목url,댓글,글쓴이,글쓴이ip,조회,추천,상세시간,내용,첨부이미지
5494377,엘-시,https://gall.dcinside.com/board/view/?id=frozen&no=5494377&page=1,,ㅇㅇ,118.235,17,0,2024.10.15 12:22:23,엘-시,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777415c59e6865a266f2256a2d334b09b01567ae98c55fd1a44628d748d0c6089b7608a9daeec9aaa0f276a68b54ffa2&amp;f_no=Download_2014_10_05_09_36_15.jpg
5494376,10월 15일 명언,https://gall.dcinside.com/board/view/?id=frozen&no=5494376&page=1,2,ㄱㅁㅅs,118.33,36,1,2024.10.15 09:19:40,"아름다움을 악용하고 파괴하는 것은 엄청난 죄악이다.우리에게는 아름다움을 온전히 관리해야 하는 책임이 있다.The real sin against life is to abuse and destroy beauty,even one's own - even more, one's own,for that has been put in our care andwe are responsible for its well-being.-캐서린 앤 포터-오늘은 좀 기네요",
5494375,예비군옴,https://gall.dcinside.com/board/view/?id=frozen&no=5494375&page=1,8,쿄모토짱,,78,0,2024.10.15 09:04:27,,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777417c19067856028c0ab5ce8e402e7b81300b926c28264c951c77aad14f8d44c91bda247b8801df550da2b4d60dd1bde348d0ab76a86a3&amp;f_no=5478E336-AE97-4927-BE57-AA728154E500.png
5494374,출근충들 깰 시간인데 난 이제 밥먹고 잘거임ㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=frozen&no=5494374&page=1,6,멍붕슨,,74,1,2024.10.15 06:30:32,니들은 계속 생산적인 일이나 해ㅋㅋㅋㅋㅋ 난 소비만 하는 인생 살다가 다 떨어지면 알아서 훅 가버리면 그만이야ㅋㅋㅋㅋ,
5494373,나 진짜 약해진듯,https://gall.dcinside.com/board/view/?id=frozen&no=5494373&page=1,5,ㅇㅇ,221.152,75,1,2024.10.15 01:51:46,투수 한번 했다고 허벅지가 아야해  - dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d109a2d34c717f15c59469bc1ae94236fcb0d05b47c7a020b5b98527c38e5c01819205a01710aa4bacd7658e28b6074d495c9790f26686da7cb4&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494372,프서운 사실) 후갑이가 반고닉 우개였다,https://gall.dcinside.com/board/view/?id=frozen&no=5494372&page=1,5,멍붕슨,,78,0,2024.10.15 01:50:03,게우<=>우개프끼야아아아아악!!!!!,
5494371,좆뉴비 고닉들 차렷.,https://gall.dcinside.com/board/view/?id=frozen&no=5494371&page=1,16,home,,112,0,2024.10.15 01:20:11,감히 신성한 프갤에서 좆목근첩 엘갤 이야기를 꺼내다니,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10ba2da4e777711c19f6eddcbde1292a0e2ed50467017f254644de6fa0553523fee9a2b5ed44c154f0ce8b1f501deeda7b746&amp;f_no=143836-20241002-132006-000.gif
5494370,엘-시,https://gall.dcinside.com/board/view/?id=frozen&no=5494370&page=1,,ㅇㅇ,118.235,22,0,2024.10.15 00:22:32,1222 엘시,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777415ca906c37297007b7ae35c5ee036e96f0a03f0f5dc5e23cefde4e8eb7d8b6d1822495c888592b27ef2a651a&amp;f_no=frozen-20211005-204155-001.gif
5494369,엘시이이이,https://gall.dcinside.com/board/view/?id=frozen&no=5494369&page=1,,아렌델시민A,,19,1,2024.10.15 00:22:26,- dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacd04e7e7313ca956fadb3f54eb9d5bf42ac30655f0e5994992907ef520f9cacc57e8fb1e839e5d2e554b6289f0ac50b7648a1c71d86a651b23d9c&amp;f_no=556244B2-61AC-48E2-8E01-225472242071.gif
5494368,내일은 사흘만에 출근,https://gall.dcinside.com/board/view/?id=frozen&no=5494368&page=1,1,ㅇㅇ,118.235,32,0,2024.10.14 23:44:00,실컷 잘 놀다가 더더더더더욱 일하러 가기 싫다,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecf502735bf82f3a9753ca414030b7cbaa38a62435a961802c8bd9f2c9ca66c47e0c36d34bbbd956bda3596&amp;f_no=PEM_20230129_235548.jpg
5494367,#305 안나님,https://gall.dcinside.com/board/view/?id=frozen&no=5494367&page=1,7,아렌델시민A,,58,6,2024.10.14 23:30:03,- dc official App,"https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecf502c35b685f5a9703fd9f86033bac0191121032b7718f345f0f10770f3e5fb88e9879d6d4b08c263ca89820e2a998019048b99485bf114d1d183b2&amp;f_no=176D54E2-D870-4A7F-B0AE-2367953FB394.gif
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecf502c35b685f5a9703fd9a83430e9c9181279035b051f8549fc26ff9f4d3935a35493a6d4f7fb9bfabe38bcc82200b932cbddf2b19593244c0c533a&amp;f_no=AE12981B-5342-4065-BBF9-5C7FCAE7BE65.jpg"
5494366,토끼 놀려서 벌 받았나 갑자기 나도 몸 ㅈㄴ아픔,https://gall.dcinside.com/board/view/?id=frozen&no=5494366&page=1,8,멍붕슨,,73,0,,,
5494365,프붕이 곧 차살듯,https://gall.dcinside.com/board/view/?id=frozen&no=5494365&page=1,5,Frozen3,,75,0,2024.10.14 21:29:01,드라이브 태워주까,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ec95c2732be84fca17750c63dc6352622577676f403fcaabcd2be7cb50a0100d4396474bfa6b86aed1a84d513d0fab77582e5691338eec06a8ee511&amp;f_no=81A35B23-0E43-4299-BBC3-C99C880BC44C.jpg
5494362,완전 몸살걸렸어,https://gall.dcinside.com/board/view/?id=frozen&no=5494362&page=1,19,쥬디홉스,,107,0,2024.10.14 19:02:19,존나아파시발,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd5c2b36ba80f2a872370e4a7bad303368a1515bff9010e18eab355cfebac465733184b1e85351d1515f07f1da3eda61fe9fbab1301560b0e2023081&amp;f_no=F1EFD7A2-99F2-46AB-89A8-40A1FE0DE133.jpg
5494361,몸이 아파서 슬퍼,https://gall.dcinside.com/board/view/?id=frozen&no=5494361&page=1,3,ㅇㅇ,222.107,66,0,,,
5494360,안-시,https://gall.dcinside.com/board/view/?id=frozen&no=5494360&page=1,2,ㅇㅇ,118.235,30,0,2024.10.14 18:21:15,621 안-시,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecf502735bf82f2a17338401b7486aae896b5deaa1c2f992c31426ab0c95a20cb9f6d08d577015be4ec5a0fd05f5b3631252ba3cf&amp;f_no=Download_2014_07_16_08_29_43.jpg
5494359,올해 첫붕,https://gall.dcinside.com/board/view/?id=frozen&no=5494359&page=1,8,쿄모토짱,,74,0,2024.10.14 17:44:40,캬 겨울의 맛은 달구나,"https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecc592d39bb85f2a8703b03649e32ffb1196739e26fb70ea8b88e1202b97aba279aebb0f1dd2f16f669bdbedc68904a6be3674d17809f90fc67e95a6f&amp;f_no=547EC5E3-8F83-4AE8-92F2-1A2BB1E23ACF.jpg
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecc592d39bb85f2a8703b03619931aab0163639e269c07caccdf81ef119be334f3ae7673d440fad650af6658ae7423b6465c563641e0ff6e970254541&amp;f_no=3CEA6C6F-10CE-4758-93B5-5F2C9B9FE1E3.jpg"
5494358,그래서 컴퓨터토끼는 왜 죽은거임?,https://gall.dcinside.com/board/view/?id=frozen&no=5494358&page=1,8,멍붕슨,,92,0,2024.10.14 17:31:46,4년전에도 낮잠 자느라 떡밥 못 따라가서 몰랐는데 아직도 의문임 걔 뭐 잘못함? 도게자 박았는데 머리 가운데 빈것만 기억남,
5494357,못 볼걸 본 기분이다,https://gall.dcinside.com/board/view/?id=frozen&no=5494357&page=1,2,ㅇㅇ,118.235,58,0,2024.10.14 17:11:10,집에 들어가려고 지하주차장 지나는데 중딩 쯤 되어보이는 남녀학생이 아주 다정하게 꼬옥 붙어서 아파트 출입구로 들어감 집 바로 밑에서 부모들이나 아는 사람 볼 텐데 저러는것에 한 번 놀라고 난 저 나이 때 뭐 했나 헛살았구나 싶어 두 번 놀람,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecf502735bf82f2a17338401824d4febec1e6daaa3e3281383843c9d0c78c9aa74b98d272f10f3c1b2daeb80abc2fdbd5fa85&amp;f_no=frozen-20200116-235403-000.jpg
5494356,슼통피도 맞고 줄바꿈 습관 있는 것도 맞는데,https://gall.dcinside.com/board/view/?id=frozen&no=5494356&page=1,18,Excrement,,138,5,2024.10.14 16:30:49,"Sk 쓰는거 맞고 최근에 폰 바꿔서 5g 요금제 쓰는 것도 맞음




근데 대여섯문장 정도 밖에 안되는 짧은 글의 줄바꿈으로 나라고 특정 짓고 프갤하는 sk 5g 통피가 한둘만 있는 것을 아닐터인데 sk 아이피 하나 만으로 확신하는게 뭔 상황인가 싶음




보니까 이미 내가 로갓고닉이라고 아주 깊게 믿고 생각 바꿀 생각도 없는 것 같은데 편할 대로 하세요




내가 해명할 일도 아니고 사과할 일이 아닐 뿐더러 




이미 혼자 확정짓고 신나있는 사람한테 해명해 봐야 믿지도 않을 것 같아서 가만히 있었는데 2절 3절 하면서 날뛰는거 보니까 입장 표명은 해야될 것 같아서 글 씀




그리고 상식적으로 나도 과거 14때 부터 프갤 전성기 시절에 문체로 로갓 잡아내는거 수도 없이 본 사람인데




로갓을 할거면 그런거 고려해서 더 철저히 했겠지 저렇게 허술하게 했겠냐




그리고 하나 놓친게 있는데, 




나는 문장마다 문단을 쪼개는게 아니라 문장 중간도 수도 없이 많이 쪼갬요ㅋ 




이건 님 잘하는 탐정질로 작성글 검색으로 찾아 보던가ㅇㅇ




이따 현장 나가야되서 답글 밤에 몰아서 달테니까 쫄튀했노ㅎㅎ!! 하면서 또 신나 하지 말고ㅇㅇ












그리고










2d단편좆도관심없으면개추 <—- 말을 할거면 좀 이쁘게 하지 그랬니",https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd5c2b35bd86f2a07a3a156b75a28f14fb9c803d79b3da664d600ce5a084c2477f87bbe027d0ac50a5e78ea1644573d50d4a7ae23787349561fda03d&amp;f_no=D1B020E8-8677-4CC2-9BEA-92A653A41586.gif
5494355,개병신 집피 떴길래 헐레벌떡 들어온 겨붕이는 개추ㅋㅋ,https://gall.dcinside.com/board/view/?id=frozen&no=5494355&page=1,2,ㅇㅇ,221.152,93,4,2024.10.14 14:52:43,ㅇㅅ ㄴㅂㅌ  - dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd5e2f37b989f3a671395339cd1de315a645f677978cd8cb0aca84d4ab761f6d89c1fb93b4f6cc51bb3fff6ed9e71b2314d697fe9387abe7b8&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494354,쥬디야 시발 진짜 뒤지고 싶냐,https://gall.dcinside.com/board/view/?id=frozen&no=5494354&page=1,11,ㅇㅇ,112.168,134,3,2024.10.14 14:50:57,115.20도 나고 124.50도 나고 패드립유동도 나고 앙졸이 저격한것도 나고 4년전에 토끼 저격한 117.111도 나고 106.101은 보이는 즉시 전부 나고 아주 그냥 시발 온 세상이 멍붕슨이네 내가 그렇게 좋으면 청혼해 청혼하라고 1월까지 글 안 쓴다했는데 기어코 로그인을 하게 만드네 코구유동이랑 쌍으로 셜록홈즈 듀오 맺기로 결심한거냐 그만하라고그만하라고그만하라고그만하라고  - dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecf512730bf81f4a8773e76787fa672f1b4db35a171d30c5c7d42023ff35a96d31c9ff227caa42052ae6016d68f46aa6160803d3add606f33&amp;f_no=Screenshot_20241014_144603_NAVER.png
5494353,월욜 한 주 바깥활동 첫 일정,https://gall.dcinside.com/board/view/?id=frozen&no=5494353&page=1,,ㅇㅇ,118.235,28,0,2024.10.14 14:31:15,병원이다,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecf502735bf82f3a974399d9d2aeedf9adcdd0ddf620dce93e345705bf3a8ec662e52687cd2d7d8&amp;f_no=365389654364885.png
5494351,얘랑 비슷한애가 나 꼬라보고 가는데 싸우자는건가,https://gall.dcinside.com/board/view/?id=frozen&no=5494351&page=1,,ㅇㅇ,223.39,42,1,2024.10.14 13:35:28,https://m.dcinside.com/board/frozen/5492373 내가 대관가서 존나 무서웠던때가 언젠지 앎? (장문) - 겨울왕국 갤러리전에도 한번 썰 푼적 있었는데 아직도 그때만 생각하면 온몸에 소름이 돋음아마 안탄절 이브 대관때였을거임. 그때 상영 시작 20분전에 안나 오티 선착순1명 나눔을 하겠다고 갤에 유동 글이 올라왔었음. 난 그날 나눔뽕 오m.dcinside.com나 빠따들고있는데  - dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd5e2a33b783f5a97138effa893436c61bf404cb1f2d641d135d01ad4bb8b7e69902afb3783c6419a92f6871f836749c4c7d81a73d15a57c86&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494350,너네들,https://gall.dcinside.com/board/view/?id=frozen&no=5494350&page=1,,파란물까치,,35,0,2024.10.14 13:24:59,"흑시 글로벌 정치 미니 갤러리 알아?

그 ㅂㅅ 같은 미니 갤러리 말야.





내가 국야갤에 올린 글

https://m.dcinside.com/board/baseball_new11/15005860

 

너네들, 이 갤엔 가지 마라.- 국내야구 갤러리

https://m.dcinside.com/mini/globalpolitics777 글로벌 정치 미니 갤러리 - 커뮤니티 포털 디시인사이드국제사회는 유기적으로 돌아가기때문에 거시적인 안목 함양과 정보교류

m.dcinside.com




ㅂㅅ갤 링크

https://m.dcinside.com/mini/globalpolitics777

 

글로벌 정치 미니 갤러리- 커뮤니티 포털 디시인사이드

국제사회는 유기적으로 돌아가기때문에 거시적인 안목 함양과 정보교류는 국가와 국민을 이롭게 할 것이다 - 글로벌 정치 갤러리에 다양한 이야기를 남겨주세요.

m.dcinside.com


이 새끼들이 하는 것:

코로나 백신을 맞으면 정신병에 걸림.
대중들은 개 새끼 이다.
지구/달은 사실 평평하다.",
5494349,오늘의 결과 쓰리런치고 만리런 맞음,https://gall.dcinside.com/board/view/?id=frozen&no=5494349&page=1,,ㅇㅇ,223.39,26,0,2024.10.14 13:00:34,- dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd5e2a33b783f4a17b363b4e9225f2befaf34c7de3a678a1217bf53508bdceae4e78447b005c654d611c7936c25035e9d58358af980f2c448e&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494348,엘엘엘---시시시,https://gall.dcinside.com/board/view/?id=frozen&no=5494348&page=1,,ㅇㅇ,183.107,25,0,2024.10.14 12:22:21,1222 엘시,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd592937bc86f1a573387a2b68ba813376f49caee05a35c6fb48e6b8343d710651c9385dc5b6deb282dbd1c43d&amp;f_no=Once-Upon-a-Time-Elsa.jpg
5494347,간만에 투수 ㅈㄴ힘드네,https://gall.dcinside.com/board/view/?id=frozen&no=5494347&page=1,1,ㅇㅇ,223.39,33,0,2024.10.14 12:20:25,- dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd5e2a33b783f4a17b363b4d9576a0effda7427de3a678a1217b49b85cfa75fbad246fcbdf52abd291095c45ca23122c669806b536679c3092&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494346,지금까지 누워 있었다,https://gall.dcinside.com/board/view/?id=frozen&no=5494346&page=1,,ㅇㅇ,118.235,33,0,2024.10.14 11:43:23,너무 누웠더니 일어날 때 허리가 아팠음,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecf502735bf82f3a8723a5f66eaddd94b156c4b6649bd3d81bdf7f63341acc78721dfeab5ede71b78a5cc4101d1d443&amp;f_no=Tumblr_l_47049994596789.gif
5494344,10월 14일 명언,https://gall.dcinside.com/board/view/?id=frozen&no=5494344&page=1,1,ㄱㅁㅅs,118.33,38,1,2024.10.14 08:30:39,꾸밈없는 진실은사람을 웃게 만든다.The absolute truth isthe thing that makes people laugh.-칼 라이너-,
5494343,갑자기 호박엿이 먹고싶네,https://gall.dcinside.com/board/view/?id=frozen&no=5494343&page=1,3,쿄모토짱,,75,0,2024.10.14 01:15:55,편의점에서도 안팔고 은근 희귀음식이네 이거,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecc592d39bb85f2a8703b0361c631fcec46306ce269c101d4bf8d4c38b9cc2f69ed6cfc5f946cfdebee8a1097c43f019966fc46e24aa955fc0a715355&amp;f_no=3B89D6FA-21CC-483D-99C7-FBF788D2D39D.jpg
5494342,늦 엘-시,https://gall.dcinside.com/board/view/?id=frozen&no=5494342&page=1,,ㅇㅇ,183.107,26,0,2024.10.14 00:28:04,,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd592937bc86f1a573387a7763b7d66325fa9daedc4424cab87a606d6745ee2daa041292fe0c46a15ea4858a83933264aaabd06a7d6beb24954e309f&amp;f_no=spring_bloom_elsa_06_20240312_012958.jpg
5494341,퀸안나 특,https://gall.dcinside.com/board/view/?id=frozen&no=5494341&page=1,,ㅇㅇ,222.107,42,0,2024.10.14 00:26:29,하찮음,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd5e2d31b880f3a7763ba56144c26702e2cfbf1af56093a4df2f360084327b6b8b372467e28c2c389429b78da57822b40eedb5833336c57e4b7b5680&amp;f_no=889A3973-26BD-49D6-9950-F0DE13D77E38.jpg
5494340,엘시이이이,https://gall.dcinside.com/board/view/?id=frozen&no=5494340&page=1,,아렌델시민A,,35,2,2024.10.14 00:22:09,- dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecf502c35b685f5a9703fd9f2616ee8c01a117303290116f533fcc712b9a9ba2768081b773a2dc1e4a14de22fafcb986248e7fe2f40128ab86b697d57&amp;f_no=3A8BC8C3-1445-4D9F-964B-3DC96058D8B1.jpg
5494339,나쁜짤 주움,https://gall.dcinside.com/board/view/?id=frozen&no=5494339&page=1,2,ㅇㅇ,222.107,77,0,2024.10.14 00:20:34,안대,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe1b0aea6151753cc0ecd5e2d31b880f3a7763ba53547c53107b199e96ba728cd&amp;f_no=A309N8ZQEFAYGAJGYPE2571SZ0.jpg
